在剧情中出现,物品ID,物品名称,物品说明,物品属性说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,,
,3240,绮梦魔珠,凝聚幻瞑护将灵力的魔石，流光溢彩，如梦如幻。,注灵的材料,Fantasy Demon Pearl,,,FancyDemonOrb,,"A magic stone that condenses the phantom guardian's spiritual power, radiant and dreamlike.",Material for Infusion
,3241,不知名的剑,不知名的长剑，外形相当与众不同，细而锐利，闪烁着凛凛寒光。,,Unknown Sword,,,Unknown Sword,,"An unknown long sword with a quite distinctive appearance, slender and sharp, gleaming with a cold, intimidating light.",Material for Infusion
Y,3243,凤凰花枝,美丽的凤凰花，取自昆仑琼华派后山的醉花荫中。,,Phoenix Flower Branch,,,Phoenix Branch,,"Beautiful phoenix flowers, taken from the Bower behind the Kunlun Qionghua Sect.",Material for Infusion
,3244,机关箱,夙莘交代要带给琼华派掌门的箱子，不知其中有些什么。,,Mechanism Box,,,Mechanism Box,,A box entrusted by Su Shen to be delivered to the Qionghua Sect leader; its contents are unknown.,Material for Infusion
Y,3245,牌位,云天河之父“云天青”的牌位。,,Tablet,,,Tablet,,Yun Tianhe's father Yun Tianqing's Tablet.,Material for Infusion
Y,3246,香炉,云天河用以给父亲上香的香炉。,,Incense Burner,,,Incense Burner,,Yun Tianhe used to offer incense to father's Incense Burner.,Material for Infusion
Y,3247,香囊,以离香草制成的香囊，据说如果旅人带上，离故乡越远，香气就会越浓。,,Sachet,,,Sachet,,A Sachet made from Parting Herb; said to grow more fragrant the farther a traveler is from home.,Material for Infusion
Y,3249,开元追月弓,不知以何种材料制成的宝弓，弓身隐有火灵流转，出箭极猛，相传可追上夜空中的明月。,,Kaiyuan Moon Bow,,,KaiyuanMoonBow,,"A precious bow made from an unknown Material. The bow body faintly swirls with fire spirits. Its arrows are extremely fierce, said to be able to chase the moon in the night sky.",Material for Infusion
,3250,红宝珠,红色的宝珠蕴涵着神秘而强大的灵力，似乎是上古神陵的某一部分。,开启机关所需物件,Ruby,,,Ruby,,"Red treasure pearl contains mysterious and powerful spiritual power, seems to be part of an ancient divine tomb.",Material for Infusion
,3251,黄宝珠,黄色的宝珠蕴涵着神秘而强大的灵力，似乎是上古神陵的某一部分。,开启机关所需物件,Topaz,,,Topaz,,"Yellow treasure pearl contains mysterious and powerful spiritual power, seems to be part of an ancient divine tomb.",Material for Infusion
,3252,蓝宝珠,蓝色的宝珠蕴涵着神秘而强大的灵力，似乎是上古神陵的某一部分。,开启机关所需物件,Sapphire,,,Sapphire,,"Blue treasure pearl contains mysterious and powerful spiritual power, seems to be part of an ancient divine tomb.",Material for Infusion
Y,3253,一口梦千年,仙界佳酿，传说酒劲之大，凡人喝一口就能昏睡千年，不过这仅仅是传说，未有人敢尝试。,,A Sip Dreams Millennium,,,MillenniumDreamWine,,"Celestial realm fine wine. Legend says its potency is so great that a mortal taking one sip can sleep for a thousand years, but this is just a legend; none have dared to try.",Material for Infusion
Y,3254,紫蕴玄参,被奉为仙灵之药，传说食之便可长生，有凝神养气之功效。,,Purple Mystic Ginseng,,,Purple Ginseng,,"Revered as an immortal elixir, legend says consuming it grants longevity, with effects of Focus and nourishing qi.",Material for Infusion
Y,3255,点心,一盘点心，看起来很好吃的样子。,,Pastry,,,Pastry,,"A Plate of Pastry, looks very delicious.",Material for Infusion
Y,3256,无衣神水,昆仑圣山之上，水灵充沛之处所取神水，蕴涵无限灵力。,,Clothless Divine Water,,,Divine Water,,"Sacred water drawn from a place abundant with water spirits atop the Kunlun holy mountains, containing infinite spiritual power.",Material for Infusion
Y,3257,紫陌清风,瓶内乃是灵道圣水化成的清气，嗅一下便精力充沛。,,Purple Path Clear Wind,,,WorldwideBreeze,,The bottle contains clear qi transformed from sacred spiritual water; a sniff restores vigor.,Material for Infusion
Y,3258,濡润叶,蕴涵奇异灵气的绿叶，可润万物于无声。,,Moistening Leaf,,,Moist Leaf,,"Leaf imbued with strange spiritual energy, nourishes all things silently.",Material for Infusion
,,,,,,,,,,,Material for Infusion
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Item required for mechanism
,,,,,,,,,,,Item required for mechanism
,,,,,,,,,,,Item required for mechanism
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
